distance	scattering length real	scattering length imag
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.231110980602897e3	-1.5519977684090952e1	1.0991564787814037e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.344789909239341e3	-1.5520003850188077e1	-6.878861319731428e-13
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.4584688378757846e3	-1.5520026602916083e1	-1.006945434650092e-12
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.5721477665122284e3	-1.5520046479175004e1	-3.900598637699049e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.685826695148672e3	-1.5520063918193337e1	-3.767805436022087e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.799505623785116e3	-1.5520079280907611e1	-4.042152200842619e-13
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
3.9131845524215596e3	-1.552009286607562e1	9.329351256218889e-14
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.0268634810580033e3	-1.5520104922531424e1	-4.754256829096228e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
4.140542409694447e3	-1.5520115658346278e1	6.34706401206427e-13
